1399		leanstral as a prover
1398		Nova extension (tree-sitter)
1397		Helix registration (tree-sitter)
1396		Zed extension (tree-sitter)
1395		BBEdit codeless language module
1394		Kate / KSyntaxHighlighting grammar (also covers Pandoc, Qt Creator, KDE tools)
1393		JetBrains / IntelliJ family support (TextMate bundle; maybe dedicated plugin)
1392		Notepad++ User Defined Language for FSL
1391	Version 6|Created by AI|Core|Enhancement	v6: implement `time_between` guard on the v6 guard/sensor + expression-language foundation (defer from v5)
1389	Version 6|Created by AI|Core|Enhancement	feat(fsl): `time_between` edge guard — wall-clock / day-of-week / day-and-time predicate for `when`
1388		fsl-editor: P2P collaborative co-authoring of machines over the network (CRDT — Yjs or alternatives)
1386	Enhancement	fsl-editor: live interactive tutorial / onboarding mode
1385	Enhancement	fsl-editor + machine: native breakpoints &amp; debugging facilities
1383	Enhancement	fsl-editor: Codegen menu — clustered target tree (family → language → direct + popular-machine generators)
1382	Enhancement	fsl-editor: optional arrow-glyph (ligature) display via a Nerd Font
1379	Test suite|Needs tests|List issue|Accessibility	Universal character set test V6
1378	Needs implementation|Enhancement|FSL	Wire up version-range matching (SemVerRange) to a compatibility attribute
1365		Weighted same-action fan-out: allow one action to dispatch to multiple targets by probability
1364	Documentation Generators|Readme|Integrations|Enhancement|FSL|Visualizations	feat(fsl): transpile FSL → Mermaid for native inline rendering in Markdown / GitHub
1363	Static analysis|Functional language|Very powerful|Ahead of its time|Compile targets|Types|Transcompile targets|Needs a feature|Enhancement|FSL|Codegen	feat(fsl): self-hosting — FSL's lexer/parser/checker/compiler as (verifiable) FSL machines
1362	Needs research|Static analysis|Ahead of its time|Stochastic machines|Is blocked|Needs a feature|Enhancement	feat(fsl): probabilistic timed automata (probabilistic + dense-time verification)
1361	Needs research|Static analysis|Functional language|Very powerful|Ahead of its time|Enhancement	feat(fsl): dense-time (timed-automata) verification
1360	Needs implementation|Static analysis|Needs a feature|Enhancement|FSL|Features|Big picture	feat(fsl): temporal property language (LTL/CTL-style) + model checking
1359	Editors|Tooling|Ease of use|Is blocked|Enhancement|Status: Backlog	feat(fsl): editor — assist curating the declared event alphabet
1358	Static analysis|Ease of use|Graph language|Needs a feature|Enhancement|FSL	feat(fsl): opt-in declared event/action alphabet with exhaustiveness
1357	Needs a feature|Enhancement|FSL|Features|Needs spec	feat(fsl): source-level lifecycle actions — machine construct/destruct, state entry/exit
1356	Needs implementation|Graph language|Needs a feature|Enhancement|FSL|Needs spec	feat(fsl): wildcard / catch-all transitions (any-state source)
1355	Static analysis|Functional language|Very powerful|Ahead of its time|Needs a feature|Enhancement|Needs spec	feat(fsl): Design-by-Contract — invariants, require/ensure preconditions & postconditions
1354	List issue|Composition|Needs a feature|Enhancement|FSL|Big picture|Needs spec|Status: Backlog	feat(fsl): event-driven / actor model (umbrella)
1353	List issue|Needs a feature|Enhancement|FSL|Features|Big picture	feat(fsl): statechart structural semantics for hierarchy & parallel regions (umbrella)
1352	Graph language|Composition|Needs a feature|Enhancement|FSL|Needs spec	feat(fsl): source-level modularity — cross-file imports + parameterized machine templates
1351	Needs a feature|Enhancement|FSL|Features|Status: Needs design|Needs spec	feat(fsl): state-scoped activities & services (do / invoke, auto-cancel on exit)
1350	Graph language|Needs a feature|Core|Enhancement|FSL|Needs spec	feat(fsl): eventless (always) transitions + else/otherwise default branch
1349	Needs a feature|Enhancement|FSL|Features|Needs spec	feat(fsl): richer time model — periodic (every) transitions + named cancellable timers
1348	Needs implementation|Types|Version 6|Needs a feature|Core|Enhancement|FSL|Features|Needs spec	feat(fsl): parameterized event payloads
1347	Graph language|Is blocked|Needs a feature|Enhancement|FSL|Needs spec	feat(fsl): deferred events
1346	Integrations|Very powerful|Ahead of its time|Composition|Needs a feature|Enhancement|Features|Needs spec	feat(fsl): raise / send and inter-machine events (actor model)
1345	Needs tests|Documentation and docgen|Core|Enhancement|FSL|Status: Needs design|Needs spec	feat(fsl): run-to-completion stepping & transition conflict-resolution semantics
1344	Needs implementation|Graph language|Needs a feature|Enhancement|FSL|Needs spec	feat(fsl): internal vs external (self) transitions
1343	Graph language|Is blocked|Needs a feature|Enhancement|FSL|Needs spec	feat(fsl): in-state guards / cross-region predicates (in(state))
1342	Graph language|Is blocked|Needs a feature|Enhancement|FSL|Needs spec	feat(fsl): fork / join / choice / junction pseudostates
1341	Composition|Needs a feature|Core|Enhancement|FSL|Features|Needs spec	feat(fsl): final states with done / completion events
1340	Graph language|Composition|Needs a feature|Core|Enhancement|FSL|Needs spec	feat(fsl): history pseudostates (shallow H / deep H*)
1332	Needs research|Integrations|Collected propaganda|Enhancement	add blue.js to the platform support list for jssm
1331	Tooling|High priority|Ease of use|Issue needs work|Viz action|Very powerful|Visual improvements|Status: Underway|Composition|Needs a feature|Enhancement|CSS|Visualizations	export dot viz to shareable config
1330	Editors|Highlighters|Needs research|Needs implementation|Tooling|High priority|Machine use cases|Use cases|Publicity and visibility|Ease of use|Graph language|Viz action|Very powerful|Visual improvements|Status: Underway|Environments|Frontend|Enhancement|Visualizations	dot visual stuff in new editor
1317	Tooling|Chore|Cleanup|Technical debt|Maintenance	remove ancient flowtype eslint annotations
1315	Package managers|Chore|Cleanup|Ease of use|Size improvement|List issue|Refactor|Build|Enhancement	Fuse all JSSM packages and switch to multiple export and tree shaking
1313	Needs implementation|Typescript	Resurrect TS patch
1310	Needs research|Issue needs work	Identify a storage notation
1309	Tutorials|Documentation and docgen|Needs information	Explanation of tracing facilities
1307	Needs research|Publicity and visibility|Package Quality	figure out why npm ranking dropped so much
1306	Process|Needs information|Meta	fix issues into subissues
1303	Needs implementation|Issue needs work|Needs tests|List issue|Core|Enhancement	Task list for `.set_data`
1299	Needs implementation|Chore|Machine use cases|Ease of use|Integrations|Needs a feature|Core|Enhancement	hook_after implies hook_after_any
1284	Tooling|Test suite|Compile targets|Build|Build infrastructure|CI/CD	Build target matrix - core build target runner
1283	Test suite|Needs tests|List issue|Build	Build target matrix
1282	Test suite|Needs tests|Build|Rendering compatibility|Javascript|Web	Build target matrix - browser iife
1281	Test suite|Integrations|Build|Javascript|Web	Build target matrix - browser dynamic import
1280	Needs research|Tooling|Build|Javascript	Build target matrix - do something about bun
1279	Needs research|Tooling|Build|Typescript	Build target matrix - do something about ts-loader
1277	Needs implementation|Tooling|Test suite|Integrations|Environments	Build target matrix - deno url import
1276	Tooling|Test suite|Integrations|Environments	Build target matrix - deno static import
1275	Tooling|Test suite|Environments|Build|Javascript	Build target matrix - node dynamic import
1274	Needs implementation|Test suite|Environments|Build|Javascript	Build target matrix - node static import
1273	Test suite|Compile targets|Environments|Build|Javascript	Build target matrix - node commonjs
1272	Needs research|Needs implementation|Tooling|Competition|Issue needs work|Very powerful|Needs a feature|Core|Enhancement|Status: Needs design|API	One-time next-access hooks
1271	Needs research|Needs implementation|Tooling|Issue needs work|Very powerful|Performance|Needs a feature|Core|Enhancement	History-attached stack traces
1270	Needs research|Needs implementation|Compile targets|Enhancement|C++|Codegen	Add `circle` as a compiler target
1269	Needs research|Machine use cases|Use cases|Integrations|Very powerful|Compile targets|C	Look into `libsir` bindings
1264	High priority|Cleanup|Machine use cases|Ease of use|Solution proposed|Enhancement|API	No practical way to set `.data` to `undefined`
1257	Needs research|Ease of use|Graph language|Issue needs work|Needs a feature|Enhancement|FSL|Features|Visualizations|Needs spec	State field `kind`
1256	Needs research|Ease of use|Graph language|Needs a feature|Enhancement|FSL	operator `kind`
1255	High priority|Enhancement|Website	It's long past time to do something about the website
1254	High priority|Readme|Documentation and docgen|Enhancement	It's long past time to do something about the readme
1252	Chore|Cleanup|Publicity and visibility|Bug|Automation|Integrations|Bug is upstream	Twitter broke the 1.1 api; service hasn't published since July.  Needs fixed
